Kareem Abdul-Jabbar,playoffs_per_minute,1985-86,38,LAL,NBA,C,14,14,489,11.6,20.8,.557,0.0,0.0,,11.6,20.8,.557,3.5,4.5,.787,1.9,4.2,6.1,3.6,1.1,1.8,3.1,4.0,26.7,
Kareem Abdul-Jabbar,playoffs_per_minute,1986-87 ❍,39,LAL,NBA,C,18,18,559,8.0,15.1,.530,0.0,0.1,.000,8.0,15.0,.532,6.2,7.9,.795,2.5,5.4,7.9,2.3,0.5,2.3,2.6,3.6,22.2,
Kareem Abdul-Jabbar,playoffs_per_minute,1987-88 ❍,40,LAL,NBA,C,24,24,718,7.1,15.2,.464,0.0,0.1,.000,7.1,15.1,.467,2.8,3.6,.789,2.5,4.1,6.6,1.8,0.8,1.9,2.3,4.1,16.9,
Kareem Abdul-Jabbar,playoffs_per_minute,1988-89,41,LAL,NBA,C,15,15,351,7.0,15.1,.463,0.0,0.0,,7.0,15.1,.463,3.2,4.4,.721,1.3,4.7,6.1,1.9,0.5,1.1,2.3,4.4,17.1,

Name,Table,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Mahmoud Abdul-Rauf,playoffs_per_minute,1993-94,24,DEN,NBA,PG,12,12,339,6.1,16.4,.370,1.3,3.9,.324,4.8,12.4,.385,3.1,3.3,.935,0.3,1.6,1.9,3.2,0.5,0.1,1.5,3.1,16.5,
Mahmoud Abdul-Rauf,playoffs_per_minute,1994-95,25,DEN,NBA,PG,3,2,76,5.7,15.6,.364,0.9,5.7,.167,4.7,9.9,.476,6.6,6.6,1.000,0.9,1.4,2.4,2.4,0.9,0.0,3.8,3.8,18.9,

Name,Table,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Tariq Abdul-Wahad,playoffs_per_minute,1998-99,24,SAC,NBA,SG,5,5,99,5.5,12.0,.455,0.0,0.4,.000,5.5,11.6,.469,4.7,5.8,.813,2.2,4.7,6.9,1.5,1.5,1.5,1.1,2.9,15.6,
Tariq Abdul-Wahad,playoffs_per_minute,2002-03,28,DAL,NBA,SG,8,0,79,4.1,13.7,.300,0.0,0.9,.000,4.1,12.8,.321,3.2,3.6,.875,5.0,5.0,10.0,3.2,0.0,0.0,0.5,2.7,11.4,

Name,Table,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Shareef Abdur-Rahim,playoffs_per_minute,2005-06,29,SAC,NBA,PF,6,0,129,6.4,12.0,.535,0.0,0.8,.000,6.4,11.2,.575,2.5,4.2,.600,2.2,5.9,8.1,2.0,0.6,0.0,3.6,7.5,15.3,

Name,Table,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Tom Abernethy,playoffs_per_minute,1976-77,22,LAL,NBA,SF,11,,214,3.5,8.4,.420,,,,3.5,8.4,.420,3.7,4.5,.815,2.0,4.7,6.7,3.7,1.2,0.3,,2.7,10.8,
Tom Abernethy,playoffs_per_minute,1977-78,23,LAL,NBA,SF,2,,12,3.0,12.0,.250,,,,3.0,12.0,.250,6.0,6.0,1.000,6.0,0.0,6.0,3.0,0.0,0.0,0.0,6.0,12.0,

